pseudo_id,n_dwellings
0x16cb02173ebf3059efdc97fd1819f14a2,288
0x1c9d08cd16fce04790ef900695861e786,23
0x1612e4cbe3b1b85c3dbcaeaa504ee8424,38
0x20158d36236a640cf0524dba149459169,333
0xc305005dcb1ed6128d816954c5ab9e7e,159
0xed7bfe627d07d57c704bfcd76b05b2c4,67
0x16f67b7666163486f78fdeee3fa79e760,25
0x1d9947dd524e62a35601ba411b128407e,138
0x12235f06eab722f9b25a97a7adcbf44ec,264
0x13a6d6005b67c299ced4374f17cba0e7b,68
0x1506e734dfc92653f622e19432e441239,22
0x162b92a4fb02c9c886992689d17bbadc0,8
0xe10ba24fa6b35ed8520f7e78c07f930b,84
0xf0caac31215c6cca3582bc21f486f134,277
0x89ba32a1eb432357ffef537afec4fa9b,84
0x15aae59ce42141f26f08f05b819d69fc0,41
0x15278387260c46df3f6a9cb25ae93db95,99
0xfdbbc49a2f598a936af20a9fbf60f2b0,107
0xbdb10c115e5316d8ff2e9fd8242fb654,246
0x186b089e085e96ca5addb5930164bb446,79
0x15e569a098b780a0aaf18773ebbf56882,38
0xe95ff9f59f25e5b745cf668292b7ebec,18
0x10e911ba4858d6bab37fbbf021e47f360,9
0x1b8ef214e8b4e03dfbb519b0f125945b1,15
0x1f0499790d4ecad409d51ae36ebe2a94d,7
0x141f97333f77cc67fdf4a8ed0b5d33a7a,14
0xecdafd676394bf32be2783e4773af544,7
0xbea72e0834971472afb59362d96e8c6c,28
0x1c6e0a657f98efb3d47c49c1734f31938,19
0x63125a43491c481616743367428cf917,84
0x11579b3b4c78da596bb3f48f6d10d513c,11
0x11fc4b7a356c958f56079ab5b90e73bfa,21
0xf8ebf21ca7a1eb69998aa13802beee42,23
0x1b2bb27f3729c833c6a95c938b81a8084,10
0xdd400200c7562dc0599f58cbe1a3fc65,16
0xf489afd0657a6582750a3c1b8bcd2e70,29
0x9a91576391f4d587c16911026c3dc5b1,42
0xe9a1a3a6e5759bd8d2722e4e5a0918e0,44
0x1f65bc4e02de242f562b86b01e025fc96,14
0x1cffbe319966893e86075780b08638fd0,7
0x189b3148799f04eea9a1336e67be3c27e,24
0x1ba31715353e9c2c7bdb56699053573d2,15
0x1990c5eee990661603fa04a2a26fb3ecc,29
0x1ab831b8bec4e61eaead27aa85ebb9fb5,19
0xc49551cc778e34ae322885adc4e90fdb,40
0x107f941ffda63a5d3a76418f5ee64f49c,1
0xbed8c33ce7ec7b2558ac0daad2a1af5e,5
0x190f95d157384d46dc53faa423100e1db,9
0x1b50e799f7da3f3154ac1b586f0820876,27
0x1e9b57ac240b395cc6e8e99f05a438cec,4
0x15fbe11397f3325c9fed42c7091d234a2,10
0xddc2494a8bb2bf6f73ec4b05b77e000d,5
0x51e7d40167b5c573a27432783b6ff5f6,18
0xf2a8bc3a1df011c0609a561b6473b4b3,17
0xb0d49f0fd521ac41c5a32ffee761cc95,6
0x10c46fc86e6789c7e4480b90ccc9d04f3,27
0x12342fbadc0ca9418f2d540bb3cb8364a,2
0x16d1816bc5d185c47de080d4c6a64bc9a,12
0x14f480f24c435af1b8574c1c6bab38a1c,19
0x1c7fc724d0a4f89ed1de8a0a4b302db22,8
0x187454451b5ef5c6ad7377c21d9adbfe2,13
